SiteID,ObservationDate,Species,Count,Observer,Status,Region,ObservationMonthYYYYMM
103,2025-02-21 15:30,Hawk,27,Ranger A,Low,East,2025-06
104,2024-01-19 11:30,Deer,23,Field Tech 1,Low,West,2025-07
101,2025-01-15 13:00,Fox,26,Ranger B,Low,North,2025-06
103,2025-01-09 11:30,Fox,32,Field Tech 1,Low,East,2025-06
103,2024-02-25 13:00,Owl,9,Ranger A,Low,East,2025-07
103,2025-02-10 17:00,Eagle,38,Field Tech 2,Low,East,2025-07
103,2024-12-13 13:00,Bear,11,Field Tech 1,Moderate,East,2025-06
102,2025-04-21 15:30,Raccoon,29,Field Tech 2,Low,South,2025-05
102,2024-04-07 17:00,Hawk,13,Field Tech 1,Moderate,South,2025-07
104,2025-03-20 15:30,Owl,17,Ranger A,Moderate,West,2025-07
103,2024-01-01 13:00,Deer,15,Field Tech 2,Low,East,2025-06
103,2024-08-11 09:00,Raccoon,7,Field Tech 2,Moderate,East,2025-07
102,2025-07-06 11:30,Raccoon,25,Ranger B,Moderate,South,2025-07
101,2024-02-06 17:00,Hawk,21,Field Tech 1,Low,North,2025-06
101,2024-07-23 17:00,Bear,10,Field Tech 1,Low,North,2025-06
102,2025-01-01 11:30,Deer,12,Ranger A,Low,South,2025-05
101,2024-10-13 09:00,Raccoon,19,Ranger A,Low,North,2025-06
104,2025-05-29 17:00,Bear,52,Ranger B,Moderate,West,2025-06
104,2025-07-07 09:00,Raccoon,35,Ranger B,Low,West,2025-07
102,2025-08-23 15:30,Bear,39,Ranger A,Low,South,2025-07
101,2024-10-14 09:00,Deer,31,Ranger B,Low,North,2025-06
104,2024-04-06 15:30,Hawk,8,Ranger B,Low,West,2025-05
101,2024-11-03 11:30,Deer,35,Field Tech 2,Low,North,2025-07
103,2024-01-29 13:00,Hawk,18,Field Tech 2,Low,East,2025-07
104,2025-08-16 17:00,Bear,18,Field Tech 2,Low,West,2025-05
104,2025-02-18 17:00,Owl,12,Ranger B,Moderate,West,2025-06
103,2024-10-15 11:30,Raccoon,32,Ranger B,Low,East,2025-07
103,2024-07-18 11:30,Fox,50,Field Tech 1,Low,East,2025-07
102,2024-06-18 15:30,Eagle,24,Field Tech 1,Low,South,2025-06
101,2024-07-15 09:00,Deer,17,Ranger B,Moderate,North,2025-05
104,2024-10-21 13:00,Deer,35,Ranger B,Moderate,West,2025-08
101,2025-09-07 13:00,Raccoon,18,Field Tech 1,Moderate,North,2025-06
104,2025-11-01 17:00,Fox,47,Ranger B,Moderate,West,2025-06
104,2024-09-21 09:00,Owl,1,Ranger A,Moderate,West,2025-06
104,2025-03-17 09:00,Fox,35,Field Tech 1,Moderate,West,2025-07
103,2024-12-07 17:00,Owl,11,Field Tech 2,Low,East,2025-06
102,2025-06-25 17:00,Deer,55,Field Tech 1,Low,South,2025-07
104,2025-06-24 13:00,Fox,52,Field Tech 2,Moderate,West,2025-07
103,2025-10-24 17:00,Bear,20,Field Tech 2,Low,East,2025-07
102,2025-10-28 17:00,Deer,52,Ranger A,Low,South,2025-07
104,2025-09-03 15:30,Hawk,9,Ranger A,Low,West,2025-07
101,2024-07-18 09:00,Raccoon,19,Ranger B,Low,North,2025-07
